record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Io        14:20 12 57 34.95 -04 48 41.4 2000.0 dra=0.4214 ddec=-3.39 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        14:30 12 57 35.02 -04 48 42.0 2000.0 dra=0.4407 ddec=-3.54 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        14:40 12 57 35.10 -04 48 42.6 2000.0 dra=0.4602 ddec=-3.68 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        14:50 12 57 35.18 -04 48 43.3 2000.0 dra=0.4800 ddec=-3.82 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        15:00 12 57 35.26 -04 48 43.9 2000.0 dra=0.5001 ddec=-3.97 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        15:10 12 57 35.35 -04 48 44.6 2000.0 dra=0.5204 ddec=-4.12 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        15:20 12 57 35.43 -04 48 45.3 2000.0 dra=0.5410 ddec=-4.27 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        15:30 12 57 35.53 -04 48 46.0 2000.0 dra=0.5617 ddec=-4.42 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        15:40 12 57 35.62 -04 48 46.8 2000.0 dra=0.5827 ddec=-4.57 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        15:50 12 57 35.72 -04 48 47.5 2000.0 dra=0.6038 ddec=-4.72 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        16:00 12 57 35.82 -04 48 48.3 2000.0 dra=0.6252 ddec=-4.88 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        16:10 12 57 35.93 -04 48 49.2 2000.0 dra=0.6466 ddec=-5.03 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        16:20 12 57 36.04 -04 48 50.0 2000.0 dra=0.6683 ddec=-5.19 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        16:30 12 57 36.15 -04 48 50.9 2000.0 dra=0.6901 ddec=-5.34 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        16:40 12 57 36.27 -04 48 51.8 2000.0 dra=0.7120 ddec=-5.50 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        16:50 12 57 36.39 -04 48 52.7 2000.0 dra=0.7340 ddec=-5.66 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        17:00 12 57 36.52 -04 48 53.7 2000.0 dra=0.7561 ddec=-5.82 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        17:10 12 57 36.64 -04 48 54.7 2000.0 dra=0.7784 ddec=-5.98 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        17:20 12 57 36.78 -04 48 55.7 2000.0 dra=0.8006 ddec=-6.14 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        17:30 12 57 36.91 -04 48 56.7 2000.0 dra=0.8230 ddec=-6.30 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        17:40 12 57 37.05 -04 48 57.8 2000.0 dra=0.8454 ddec=-6.46 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        17:50 12 57 37.19 -04 48 58.9 2000.0 dra=0.8678 ddec=-6.62 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        18:00 12 57 37.34 -04 49 00.0 2000.0 dra=0.8903 ddec=-6.78 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        18:10 12 57 37.49 -04 49 01.1 2000.0 dra=0.9128 ddec=-6.94 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        18:20 12 57 37.65 -04 49 02.3 2000.0 dra=0.9352 ddec=-7.10 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        18:30 12 57 37.81 -04 49 03.5 2000.0 dra=0.9577 ddec=-7.26 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
Io        18:40 12 57 37.97 -04 49 04.7 2000.0 dra=0.9801 ddec=-7.42 rotmode=pa rotdest=0 vmag=5.95 rmag=5.95
