record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Titan     20:00 17 24 54.76 -21 55 00.9 2000.0 dra=-0.594 ddec=1.310 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     20:10 17 24 54.65 -21 55 00.7 2000.0 dra=-0.593 ddec=1.307 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     20:20 17 24 54.55 -21 55 00.5 2000.0 dra=-0.593 ddec=1.304 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     20:30 17 24 54.44 -21 55 00.2 2000.0 dra=-0.592 ddec=1.302 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     20:40 17 24 54.33 -21 55 00.0 2000.0 dra=-0.592 ddec=1.299 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     20:50 17 24 54.23 -21 54 59.8 2000.0 dra=-0.592 ddec=1.296 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     21:00 17 24 54.12 -21 54 59.6 2000.0 dra=-0.591 ddec=1.293 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     21:10 17 24 54.01 -21 54 59.4 2000.0 dra=-0.591 ddec=1.291 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     21:20 17 24 53.91 -21 54 59.1 2000.0 dra=-0.591 ddec=1.288 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     21:30 17 24 53.80 -21 54 58.9 2000.0 dra=-0.590 ddec=1.285 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     21:40 17 24 53.70 -21 54 58.7 2000.0 dra=-0.590 ddec=1.283 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     21:50 17 24 53.59 -21 54 58.5 2000.0 dra=-0.590 ddec=1.280 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     22:00 17 24 53.48 -21 54 58.3 2000.0 dra=-0.590 ddec=1.278 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     22:10 17 24 53.38 -21 54 58.1 2000.0 dra=-0.589 ddec=1.276 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     22:20 17 24 53.27 -21 54 57.8 2000.0 dra=-0.589 ddec=1.273 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     22:30 17 24 53.17 -21 54 57.6 2000.0 dra=-0.589 ddec=1.271 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     22:40 17 24 53.06 -21 54 57.4 2000.0 dra=-0.589 ddec=1.269 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     22:50 17 24 52.95 -21 54 57.2 2000.0 dra=-0.589 ddec=1.267 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     23:00 17 24 52.85 -21 54 57.0 2000.0 dra=-0.589 ddec=1.265 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
HD106965        12 17 57.54 +01 34 31.1 2000.0 rotmode=pa rotdest=0 vmag=7.54 rmag=7.54 hmag=7.338 jmag=7.318 kmag=7.294 lmag=7.311 mmag=7.32 sptype=A0/1V
HD105601        12 09 27.79 +38 37 54.6 2000.0 rotmode=pa rotdest=0 vmag=7.39 rmag=7.13 hmag=6.713 jmag=6.776 kmag=6.665 lmag=6.669 mmag=6.7 sptype=Am
HD38921         05 47 22.19 -38 13 51.3 2000.0 rotmode=pa rotdest=0 vmag=7.3 rmag=7.3 hmag=7.597 jmag=7.52 kmag=7.506 lmag=7.513 mmag=7.49 sptype=A0V
