record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    15:20 01 45 33.68 +10 17 13.4 2000.0 dra=0.1119 ddec=0.621 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    15:30 01 45 33.70 +10 17 13.5 2000.0 dra=0.1117 ddec=0.620 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    15:40 01 45 33.72 +10 17 13.6 2000.0 dra=0.1116 ddec=0.619 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    15:50 01 45 33.74 +10 17 13.7 2000.0 dra=0.1115 ddec=0.617 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    16:00 01 45 33.76 +10 17 13.8 2000.0 dra=0.1114 ddec=0.616 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    16:10 01 45 33.77 +10 17 13.9 2000.0 dra=0.1113 ddec=0.615 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    16:20 01 45 33.79 +10 17 14.0 2000.0 dra=0.1113 ddec=0.614 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    16:30 01 45 33.81 +10 17 14.1 2000.0 dra=0.1112 ddec=0.613 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    16:40 01 45 33.83 +10 17 14.2 2000.0 dra=0.1112 ddec=0.612 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    16:50 01 45 33.85 +10 17 14.3 2000.0 dra=0.1112 ddec=0.610 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    17:00 01 45 33.87 +10 17 14.4 2000.0 dra=0.1112 ddec=0.609 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    17:10 01 45 33.89 +10 17 14.5 2000.0 dra=0.1112 ddec=0.608 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    17:20 01 45 33.91 +10 17 14.6 2000.0 dra=0.1112 ddec=0.607 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    17:30 01 45 33.93 +10 17 14.7 2000.0 dra=0.1112 ddec=0.606 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
