 Dist(deg)   ID           RA(J2000)    DEC(J2000)    Y       J       H       K       L       M    catalog
  113.2    P565-C        16:26:42.70  +05:52:20.0   0.000  12.180  11.895  11.842   0.000   0.000    P                      
   87.5    S071-D        18:28:08.90  -69:26:03.0   0.000  12.252  11.916  11.834   0.000   0.000    P                      
  174.6    S860-D        12:21:39.30  -00:07:13.0   0.000  12.213  11.917  11.861   0.000   0.000    P                      
  109.8    P177-D        15:59:13.60  +47:36:40.0   0.000  12.212  11.920  11.865   0.000   0.000    U                      
  109.8    P177-D        15:59:13.60  +47:36:40.0   0.000  12.258  11.924  11.857   0.000   0.000    P                      
   47.2    P576-F        20:52:47.30  +06:40:05.0   0.000  12.215  11.924  11.854   0.000   0.000    U                      
   47.2    P576-F        20:52:47.30  +06:40:05.0   0.000  12.247  11.940  11.873   0.000   0.000    P                      
   51.7    FS-151        21:04:14.75  +30:30:21.2   0.000  12.211  11.946  11.865   0.000   0.000    U                      
  131.0    FS-133        13:15:52.80  +46:06:36.9   0.000  12.330  11.971  11.909   0.000   0.000    U                      
   19.6    FS-30         22:41:44.72  +01:12:36.5   0.000  11.936  11.975  12.013   0.000   0.000    U                      
  135.1    FS-136        14:59:32.05  -00:06:17.0   0.000  12.531  12.014  11.893   0.000   0.000    U                      
  158.0    P550-C        10:33:51.80  +04:49:05.0   0.000  12.293  12.083  12.052   0.000   0.000    U                      
  128.3    S705-D        08:36:12.50  -10:13:39.0   0.000  12.362  12.098   0.000   0.000   0.000    P                      
   92.0    S279-F        17:48:22.60  -45:25:45.0   0.000  12.477  12.118  12.026   0.000   0.000    P                      
  158.0    P550-C        10:33:51.80  +04:49:05.0   0.000  12.344  12.121  12.067   0.000   0.000    P                      
   66.6    S234-E        20:31:20.40  -49:38:58.0   0.000  12.464  12.127  12.095   0.000   0.000    P                      
  113.4    S165-E        08:54:21.70  -54:48:08.0   0.000  12.489  12.214  12.138   0.000   0.000    P                      
  102.3    FS-139        16:33:52.96  +54:28:22.1   0.000  12.671  12.228  12.126   0.000   0.000    U                      
   29.4    FS-5          01:54:34.65  -06:46:00.4   0.000  12.359  12.336  12.349   0.000   0.000    U                      
  131.7    FS-17         08:51:19.31  +11:52:10.4   0.000  12.668  12.363  12.290   0.000   0.000    U                      
  144.3    FS-130        11:24:55.92  +34:44:38.5   0.000  12.980  12.402  12.262   0.000   0.000    U                      
  164.6    FS-128        11:05:10.40  +07:06:48.7   0.000  12.985  12.421  12.046   0.000   0.000    U                      
  131.7    FS-15         08:51:05.81  +11:43:46.9   0.000  12.722  12.423  12.359   0.000   0.000    U                      
  142.5    FS-23         13:41:43.57  +28:29:49.5   0.000  12.990  12.488  12.397   0.000   0.000    U                      
   82.5    FS-144        18:29:56.90  +01:12:47.1   0.000  14.997  12.555  11.009   0.000   0.000    U                      
   72.6    FS-113        04:00:14.07  +53:10:38.5   0.000  12.915  12.559  12.443   0.000   0.000    U                      
  131.7    FS-16         08:51:15.01  +11:49:21.2   0.000  12.968  12.702  12.650   0.000   0.000    U                      
   16.6    FS-3          01:04:21.63  +04:13:36.0   0.000  12.649  12.739  12.840   0.000   0.000    U                      
   52.3    FS-34         20:42:34.73  -20:04:34.8   0.000  12.883  12.930  13.000   0.000   0.000    U                      
   14.8    FS-1          00:33:54.48  -12:07:58.1   0.000  13.427  13.059  12.984   0.000   0.000    U                      
  149.7    FS-21         11:37:05.15  +29:47:58.4   0.000  13.021  13.075  13.167   0.000   0.000    U                      
  105.9    FS-27         16:40:41.56  +36:21:12.4   0.000  13.470  13.199  13.135   0.000   0.000    U                      
   32.0    FS-29         21:52:25.36  +02:23:20.7   0.000  13.215  13.255  13.330   0.000   0.000    U                      
   37.9    FS-6          02:30:16.64  +05:15:51.1   0.000  13.271  13.321  13.404   0.000   0.000    U                      
  166.0    FS-20         11:07:59.93  -05:09:26.1   0.000  13.427  13.457  13.509   0.000   0.000    U                      
   11.1    FS-32         23:16:12.37  -01:50:34.6   0.000  13.570  13.663  13.746   0.000   0.000    U                      
  155.6    FS-19         10:33:42.75  -11:41:38.3   0.000  13.625  13.691  13.789   0.000   0.000    U                      
   88.2    FS-12         05:52:27.66  +15:53:14.3   0.000  13.710  13.805  13.899   0.000   0.000    U                      
   66.1    FS-114        04:19:41.72  +16:45:22.4   0.000  14.373  13.876  13.434   0.000   0.000    U                      
   16.0    FS-31         23:12:21.60  +10:47:04.1   0.000  13.845  13.961  14.064   0.000   0.000    U                      
